15:43:30.791 -> 
15:43:30.791 -> 
15:43:30.791 -> DATA:
15:43:30.791 -> 6, 13200, 64, 4096, 1, 13200, 0, 0, 
15:43:30.837 -> Delay to allow time for flashing
15:43:42.706 -> Sent Control Bit to reader 
15:50:42.089 -> 41256, 65535, 61829, 41256, 0, 61811, 41258, 0, 61791, 41258, 65535, 61770, 41260, 65535, 61744, 41247, 65535, 61724, 41234, 65535, 61723, 41229, 0, 61735, 41224, 65535, 61753, 41217, 0, 61782, 14, -75
15:50:42.323 -> 41219, 65535, 61796, 41217, 0, 61803, 41239, 0, 61817, 41252, 0, 61827, 41253, 65535, 61822, 41258, 65535, 61819, 41263, 65535, 61805, 41268, 0, 61789, 41273, 65535, 61773, 41277, 0, 61758, 15, -75
15:50:42.561 -> 41287, 0, 61741, 41291, 65535, 61720, 41295, 65535, 61702, 41298, 0, 61682, 41301, 65535, 61663, 41303, 65535, 61648, 41304, 65535, 61620, 41302, 65535, 61593, 41297, 65535, 61563, 41281, 65535, 61548, 16, -74
15:50:42.744 -> 41276, 65535, 61554, 41271, 65535, 61566, 41267, 65535, 61586, 41266, 65535, 61608, 41262, 65535, 61616, 41262, 65535, 61622, 41286, 65535, 61637, 41284, 65535, 61634, 41283, 65535, 61622, 41284, 65535, 61608, 17, -75
15:50:42.978 -> 41286, 65535, 61598, 41289, 0, 61577, 41290, 65535, 61556, 41289, 65535, 61533, 41287, 0, 61509, 41287, 0, 61485, 41290, 0, 61462, 41281, 0, 61438, 41276, 65535, 61414, 41275, 65535, 61387, 18, -75
15:50:43.165 -> 41272, 0, 61375, 41274, 0, 61353, 41261, 0, 61339, 41257, 0, 61349, 41266, 0, 61372, 41280, 0, 61404, 41297, 0, 61439, 41303, 0, 61462, 41315, 0, 61478, 41347, 0, 61503, 19, -74
15:50:43.354 -> 41364, 0, 61527, 41379, 0, 61530, 41388, 0, 61534, 41402, 0, 61534, 41412, 0, 61531, 41424, 0, 61527, 41433, 0, 61518, 41439, 0, 61507, 41444, 0, 61493, 41450, 0, 61482, 20, -74
15:50:43.541 -> 41448, 0, 61475, 41456, 65535, 61468, 41458, 0, 61463, 41461, 65535, 61455, 41461, 0, 61450, 41459, 0, 61437, 41447, 0, 61435, 41441, 65535, 61448, 41440, 0, 61472, 41441, 0, 61503, 21, -74
15:50:43.730 -> 41441, 0, 61539, 41448, 0, 61552, 41453, 0, 61562, 41483, 0, 61592, 41494, 0, 61605, 41498, 0, 61614, 41505, 0, 61628, 41509, 0, 61628, 41513, 0, 61627, 41515, 0, 61630, 22, -75
15:50:43.918 -> 41517, 0, 61630, 41520, 0, 61633, 41521, 0, 61635, 41523, 0, 61643, 41527, 0, 61649, 41530, 0, 61656, 41533, 0, 61665, 41538, 0, 61664, 41534, 0, 61663, 41523, 65535, 61660, 23, -75
